MA_21d,MA_42d,MA_63d,MA_105d,MA_210d,MA_315d,MA_420d,BB_upper,BB_lower,ATR_14,OBV,Stoch_%K,Stoch_%D,RSI_14,MACD,MACD_Signal,Trend_Slope,Total_Return_%,Close,Prev_Close,Ticker,Rel_Perf_vs_Index_%,Corr_vs_Index
261.06666564941406,265.77381025041853,283.009523421999,288.60571434384303,344.4538099016462,360.1073014516679,357.8819041660854,281.9115004512947,240.40849619177163,13.007144383021764,-5808575.0,74.27467600886604,61.43107289842084,67.96537046746566,-0.018990372125585964,-2.3950661271274245,-0.41173604538705266,-57.63486820657191,278.0,267.29998779296875,ORSTED.CO,-68.77246008890403,0.06448883978628143
104.7009528023856,96.4174310593378,99.13613358754961,98.85394403366816,114.26853855678013,136.1788356236049,146.60854659307572,115.88555142795738,94.77044909084145,4.860715593610491,3363798.0,72.9020947929838,60.714277504190875,47.230319337884424,2.729368771198679,2.638513950986728,-0.1980390354281144,-43.635432834103916,110.3499984741211,108.25,VWS.CO,-54.77302471643604,0.763245414032863
93.4990474155971,93.52666655040923,101.59793635777065,115.3759048461914,131.28533328828357,150.44276183597626,151.13754766555058,99.42635517703036,88.12564448727628,4.0835723876953125,-21158882.0,99.64466650001654,75.74360059234054,64.06250310440714,-0.21383393437284326,-1.2907476000965055,-0.09381546452272235,-42.49219042761513,101.30000305175781,94.91999816894531,GN.CO,-53.629782309947245,0.26695817797742133
637.1904732840402,666.8783874511719,686.308591812376,729.0815540132069,803.6354059128535,825.8442039853051,810.1013057163783,652.5297708578146,622.2502218179666,11.242867606026786,-3605170.0,65.21744899358245,49.40204329704245,49.543386790093095,-13.792222233648317,-15.661450267419626,-0.023311246308461805,-23.32580381842293,637.4000244140625,629.5999755859375,COLO-B.CO,-34.46339570075505,-0.289000477021002
932.8285696847098,904.1285705566406,895.4371967618428,839.607421875,789.437251499721,821.5084431966146,822.2178957984561,964.2743991489828,903.7055996303142,16.514277866908483,-3526791.0,50.94338264613542,67.15304115720647,52.96704638135302,12.858124314437873,14.986306639640006,-0.2590835930462863,-5.719534456141084,938.0,937.5999755859375,CARL-B.CO,-16.857126338473204,0.7557851386303027
102.23571414039249,109.1952380225772,113.4452377803742,121.56523815336682,123.3268300374349,123.92655530657088,116.70335818699428,105.81529670610624,98.45970329389377,2.717858450753348,9017312.0,54.34779904516516,32.38197322844268,52.29883923493774,-3.3577028930398285,-3.716926353337388,0.07744788131264342,-3.209244010061485,102.19999694824219,99.6500015258789,AMBU-B.CO,-14.346835892393607,-0.2951857465493866
454.35714140392486,440.51309349423366,467.49937317863345,519.4836995442708,657.3994655064174,737.6222735692585,728.6964548746745,500.70610159240744,408.76389657653783,19.267850603376115,-61979870.0,99.52807920112197,97.82528315720022,75.4015439606514,11.703829060408395,4.230831900970336,-0.10368914895483805,-1.8500324250665168,519.7999877929688,490.3500061035156,NOVO-B.CO,-12.987624307398637,0.44923933642575253
258.7047642299107,244.24285852341424,245.7809533013238,257.4609524681455,262.9704770042783,281.16222219315785,285.71857121785484,276.1934920531263,243.3465134400377,7.900001525878906,2249129.0,98.06449644027218,70.03646151591506,63.556848523457155,5.682835454467806,5.165729815892371,-0.0863794593735504,-1.1731204892186042,278.0,272.0,DEMANT.CO,-12.310712371550725,0.8841463568628389
301.93333217075894,292.1952362060547,286.86348954458083,294.58285551525296,307.19809381394157,302.00380849686877,287.459761265346,310.8012067092399,293.47879207005695,6.900000435965402,2756666.0,52.941132471760014,44.11761039313334,50.44642157700882,2.029455873943732,3.5495678173645433,0.11182513345922529,5.237430279213462,301.3999938964844,298.79998779296875,NETC.CO,-5.900161603118659,0.5703451774705889
12272.142857142857,11498.02380952381,11559.502046130952,11101.976004464286,10528.193833705358,10241.272454737104,10194.861025855655,13221.44318895272,11410.55681104728,448.92857142857144,-213426.0,41.41104294478528,43.66053169734153,34.854771784232355,135.47180813648083,228.53997644700755,1.0586756724995656,15.459080395783564,12100.0,12340.0,MAERSK-B.CO,4.321488513451444,0.9833001139886755
167.4952378045945,160.3380599248977,159.49103388710628,155.11690266927084,153.2022959391276,147.97849058120968,144.12971196855818,175.02290187915668,160.19709781566752,2.3357129778180803,16968996.0,13.414713571953591,43.03469029535281,52.688171160898136,2.495799369592504,3.228680308219128,0.07950194889817645,21.233389528267544,166.8000030517578,168.5,TRYG.CO,10.095797645935424,0.8392706350313862
360.7523789178757,327.96190461658296,333.78880624922493,343.7170817057292,346.1920224144345,345.8852725074405,327.59408293224516,400.6639440041437,324.8560511130438,8.785709926060267,4717512.0,101.03091242868086,91.8143561363833,70.76920729417067,15.540799561041354,14.461355594062544,0.14808967789093808,24.382732302610876,387.79998779296875,381.79998779296875,FLS.CO,13.245140420278755,0.9001659063043422
1546.2142857142858,1405.2261904761904,1405.2628483847966,1422.950476655506,1416.3800345284599,1309.555720059834,1267.4476505824498,1639.7203990725716,1462.5296009274284,43.07142857142857,4472287.0,89.5104895104895,78.45209184121317,65.71428571428572,50.965184704951525,53.738330873644905,0.5383938155391289,25.73571449043408,1628.0,1606.0,DSV.CO,14.59812260810196,0.9074769948002558
613.1904761904761,565.6380949474517,563.7366410512773,544.4024149576823,519.0742440359933,525.2628198048425,512.9419100806826,641.9405920511222,586.8594079488778,10.178571428571429,5933898.0,74.57627118644068,81.701357115867,63.84615384615385,18.408361389524316,20.022970113212594,0.14223493955157462,26.827108823626155,626.0,630.0,JYSK.CO,15.689516941294034,0.8946930320226275
94.55333310081845,89.7952379499163,90.89329492478143,89.03499850318545,83.69963578723726,82.91373307969835,81.78424569992792,97.0732528254598,92.28074650315347,1.4242864336286272,16017087.0,36.293381132420066,49.29212085863577,46.96970353769393,1.1897541708601551,1.5818148206948028,0.030581395897483002,31.59112793076735,93.87999725341797,94.41999816894531,NDA-DK.CO,20.45353604843523,0.8697184843507989
436.92381068638394,420.7190486363002,422.34453861297123,402.51805507114955,363.14061177571614,355.52090599423366,332.7342145284017,457.2178981616357,417.96210366941904,7.77142333984375,5217311.0,58.064520098542296,78.3849097051151,57.03970482761964,6.818084746258819,7.283732615232909,0.30490661715942763,60.52889827491141,441.3999938964844,449.79998779296875,SYDB.CO,49.391306392579295,0.9159586879034648
435.8857116699219,437.47857084728423,474.6126975407676,572.6723804292225,694.3242854527065,702.7273014129154,621.6214284987677,489.3484103894582,381.0815853380809,21.535714285714285,3374943.0,99.03474909161606,92.35857096472789,80.35943356404331,6.02419479407007,-3.564120942704856,0.9430578210425634,82.31841117834458,497.0,476.3999938964844,ZEAL.CO,71.18081929601246,0.21154825990173434
305.8166663760231,293.0202382405599,296.3202984522259,281.19124813988094,281.3800281343006,271.5539848690941,247.63881545293899,317.3144448157358,295.20055457391265,10.664284842354911,14393628.0,59.76024873932015,44.80592933225339,51.845542561369626,3.386369708345967,4.109278193314817,0.3338089061101362,84.11590100662532,312.04998779296875,308.1000061035156,ROCK-B.CO,72.9783091242932,0.867641452741446
